gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT03/1241318,KeSPA,2020,1/3/2020 7:33,1,0,Blue,SANDBOX Gaming,2220,1,17,11,68927,62709,T1
ESPORTSTMNT03/1241318,KeSPA,2020,1/3/2020 7:33,1,0,Red,T1,2220,0,11,17,62709,68927,SANDBOX Gaming
ESPORTSTMNT03/1241322,KeSPA,2020,1/3/2020 9:00,2,0,Blue,T1,2227,0,5,21,57283,72004,SANDBOX Gaming
ESPORTSTMNT03/1241322,KeSPA,2020,1/3/2020 9:00,2,0,Red,SANDBOX Gaming,2227,1,21,5,72004,57283,T1
ESPORTSTMNT03/1241324,KeSPA,2020,1/3/2020 10:05,3,0,Blue,T1,1711,1,21,4,58078,42465,SANDBOX Gaming
ESPORTSTMNT03/1241324,KeSPA,2020,1/3/2020 10:05,3,0,Red,SANDBOX Gaming,1711,0,4,21,42465,58078,T1
ESPORTSTMNT03/1241328,KeSPA,2020,1/3/2020 10:57,4,0,Blue,T1,1999,0,4,17,50749,64845,SANDBOX Gaming
ESPORTSTMNT03/1241328,KeSPA,2020,1/3/2020 10:57,4,0,Red,SANDBOX Gaming,1999,1,17,4,64845,50749,T1
ESPORTSTMNT03/1241386,KeSPA,2020,1/4/2020 5:33,1,0,Blue,DRX,1812,0,3,21,48633,58837,Afreeca Freecs
ESPORTSTMNT03/1241386,KeSPA,2020,1/4/2020 5:33,1,0,Red,Afreeca Freecs,1812,1,21,3,58837,48633,DRX
ESPORTSTMNT03/1241394,KeSPA,2020,1/4/2020 6:55,2,0,Blue,Afreeca Freecs,1548,1,19,4,50036,39440,DRX
ESPORTSTMNT03/1241394,KeSPA,2020,1/4/2020 6:55,2,0,Red,DRX,1548,0,4,19,39440,50036,Afreeca Freecs
ESPORTSTMNT03/1241396,KeSPA,2020,1/4/2020 7:43,3,0,Blue,Afreeca Freecs,1594,1,14,4,50934,42590,DRX
ESPORTSTMNT03/1241396,KeSPA,2020,1/4/2020 7:43,3,0,Red,DRX,1594,0,4,14,42590,50934,Afreeca Freecs
ESPORTSTMNT03/1241467,KeSPA,2020,1/5/2020 5:57,1,0,Blue,SANDBOX Gaming,1393,0,1,24,31945,48373,Afreeca Freecs
ESPORTSTMNT03/1241467,KeSPA,2020,1/5/2020 5:57,1,0,Red,Afreeca Freecs,1393,1,24,2,48373,31945,SANDBOX Gaming
ESPORTSTMNT03/1241468,KeSPA,2020,1/5/2020 6:49,2,0,Blue,Afreeca Freecs,1809,1,15,1,56661,45756,SANDBOX Gaming
ESPORTSTMNT03/1241468,KeSPA,2020,1/5/2020 6:49,2,0,Red,SANDBOX Gaming,1809,0,1,15,45756,56661,Afreeca Freecs
ESPORTSTMNT03/1241474,KeSPA,2020,1/5/2020 7:44,3,0,Blue,SANDBOX Gaming,2085,0,13,26,56988,68974,Afreeca Freecs
ESPORTSTMNT03/1241474,KeSPA,2020,1/5/2020 7:44,3,0,Red,Afreeca Freecs,2085,1,26,13,68974,56988,SANDBOX Gaming
5655-7249,LPL,2020,1/13/2020 9:22,1,0,Blue,Invictus Gaming,2640,1,28,29,82426,75178,FunPlus Phoenix
5655-7249,LPL,2020,1/13/2020 9:22,1,0,Red,FunPlus Phoenix,2640,0,29,28,75178,82426,Invictus Gaming
5655-7250,LPL,2020,1/13/2020 10:37,2,0,Blue,Invictus Gaming,1814,0,11,19,50074,56648,FunPlus Phoenix
